Nome,Ativo
AMBEV S/A ON,ABEV3
Sendas Distribuidora ON,ASAI3
AZUL PN,AZUL4
B3 SA - Brasil Bolsa Bal... ON,B3SA3
BANCO DO BRASIL ON,BBAS3
BRADESCO ON,BBDC3
BRADESCO PN,BBDC4
BB SEGURIDADE ON,BBSE3
MINERVA ON,BEEF3
BTG PACTUAL UNT,BPAC11
BRADESPAR PN,BRAP4
BRF S/A ON,BRFS3
BRASKEM PNA,BRKM5
CCR ON,CCRO3
CIELO ON,CIEL3
CEMIG PN,CMIG4
COGNA ON,COGN3
CPFL ENERGIA ON,CPFE3
COPEL PNB,CPLE6
CARREFOUR ON,CRFB3
COSAN ON,CSAN3
SID NACIONAL ON,CSNA3
CVC BRASIL ON,CVCB3
CYRELA REALT ON,CYRE3
ECORODOVIAS ON,ECOR3
ENGIE BRASIL ON,EGIE3
ELETROBRAS ON,ELET3
ELETROBRAS PNB,ELET6
EMBRAER ON,EMBR3
ENERGIAS BR ON,ENBR3
ENEVA ON,ENEV3
ENERGISA,ENGI11
EQUATORIAL ON,EQTL3
EZTEC ON,EZTC3
FLEURY ON,FLRY3
GERDAU PN,GGBR4
GERDAU MET PN,GOAU4
GOL PN,GOLL4
HAPVIDA ON,HAPV3
HYPERA ON,HYPE3
IRB BRASIL ON,IRBR3
ITAUSA PN,ITSA4
ITAU UNIBANCO PN,ITUB4
JBS ON,JBSS3
JHSF PART ON,JHSF3
KLABIN,KLBN11
LOJAS RENNER ON,LREN3
MAGAZINE LUIZA ON,MGLU3
MARFRIG ON,MRFG3
MRV ON,MRVE3
MULTIPLAN ON,MULT3
NATURA ON,NTCO3
PÃO DE AÇUCAR ON,PCAR3
PETROBRAS ON,PETR3
PETROBRAS PN,PETR4
PETRORIO ON,PRIO3
QUALICORP ON,QUAL3
RAIA DROGASIL ON,RADL3
RUMO S.A ON,RAIL3
LOCALIZA ON,RENT3
SANTANDER BR,SANB11
SABESP ON,SBSP3
SUZANO PAPEL ON,SUZB3
TAESA,TAEE11
TIM ON,TIMS3
TOTVS ON,TOTS3
ULTRAPAR ON,UGPA3
USIMINAS PNA,USIM5
VALE ON,VALE3
TELEF BRASIL ON,VIVT3
WEG ON,WEGE3
ESTACIO PART ON,YDUQ3
